lr= 0.0004  || bsize= 6   || steps= 100   || train:whole= 0.6   || CNN results-> test: 61.25 % train: 68.33  % 
lr= 0.0006  || bsize= 6   || steps= 100   || train:whole= 0.6   || CNN results-> test: 90.0   % train: 92.5    % 
lr= 0.0008  || bsize= 6   || steps= 100   || train:whole= 0.6   || CNN results-> test: 100.0 % train: 100.0  % 
lr= 0.001    || bsize= 6   || steps= 100   || train:whole= 0.6   || CNN results-> test: 90.0   % train: 92.5    % 
lr= 0.0004  || bsize= 6   || steps= 100   || train:whole= 0.6   || MLP results-> test: 87.5   % train: 88.33  % 
lr= 0.0006  || bsize= 6   || steps= 100   || train:whole= 0.6   || MLP results-> test: 87.5   % train: 88.33  % 
lr= 0.0008  || bsize= 6   || steps= 100   || train:whole= 0.6   || MLP results-> test: 87.5   % train: 88.33  % 
lr= 0.001    || bsize= 6   || steps= 100   || train:whole= 0.6   || MLP results-> test: 87.5   % train: 90.0    % 
lr= 0.0011  || bsize= 6   || steps= 100   || train:whole= 0.6   || MLP results-> test: 87.5   % train: 88.33  % 
lr= 0.0012  || bsize= 6   || steps= 100   || train:whole= 0.6   || MLP results-> test: 87.5   % train: 88.33  % 
lr= 0.0014  || bsize= 6   || steps= 100   || train:whole= 0.6   || MLP results-> test: 70.0   % train: 69.17  % 
lr= 0.001    || bsize= 4   || steps= 100   || train:whole= 0.6   || MLP results-> test: 82.5   % train: 87.5    % 
lr= 0.001    || bsize= 5   || steps= 100   || train:whole= 0.6   || MLP results-> test: 87.5   % train: 88.33  % 
lr= 0.001    || bsize= 7   || steps= 100   || train:whole= 0.6   || MLP results-> test: 63.75 % train: 59.17  % 
lr= 0.001    || bsize= 6   || steps= 120   || train:whole= 0.6   || MLP results-> test: 87.5   % train: 88.33  % 
lr= 0.001    || bsize= 6   || steps= 140   || train:whole= 0.6   || MLP results-> test: 63.75 % train: 60.0    % 
lr= 0.001    || bsize= 6   || steps= 150   || train:whole= 0.6   || MLP results-> test: 87.5   % train: 88.33  % 
lr= 0.001    || bsize= 6   || steps= 500   || train:whole= 0.6   || MLP results-> test: 70.0   % train: 69.17  % 
lr= 0.001    || bsize= 6   || steps= 1000 || train:whole= 0.6   || MLP results-> test: 70.0   % train: 69.17  % 
